College,Height,Name,Number,Position,Team,Age,high salary,Salary,Weight
Texas,6-2,Avery Bradley,0,PG,Boston Celtics,25,High Salary,7730337,180
Marquette,6-6,Jae Crowder,99,SF,Boston Celtics,25,High Salary,6796117,235
Boston University,6-5,John Holland,30,SG,Boston Celtics,27,LOW SALARY,,205
Georgia State,6-5,R.J. Hunter,28,SG,Boston Celtics,22,High Salary,1148640,185
,6-10,Jonas Jerebko,8,PF,Boston Celtics,29,High Salary,5000000,231
,6-9,Amir Johnson,90,PF,Boston Celtics,29,High Salary,12000000,240
LSU,6-8,Jordan Mickey,55,PF,Boston Celtics,21,High Salary,1170960,235
Gonzaga,7-0,Kelly Olynyk,41,C,Boston Celtics,25,High Salary,2165160,238
Louisville,6-2,Terry Rozier,12,PG,Boston Celtics,22,High Salary,1824360,190
Oklahoma State,6-4,Marcus Smart,36,PG,Boston Celtics,22,High Salary,3431040,220
Ohio State,6-9,Jared Sullinger,7,C,Boston Celtics,24,High Salary,2569260,260
Washington,5-9,Isaiah Thomas,4,PG,Boston Celtics,27,High Salary,6912869,185
Ohio State,6-7,Evan Turner,11,SG,Boston Celtics,27,High Salary,3425510,220
Kentucky,6-6,James Young,13,SG,Boston Celtics,20,High Salary,1749840,215
North Carolina,7-0,Tyler Zeller,44,C,Boston Celtics,26,High Salary,2616975,253
,6-8,Bojan Bogdanovic,44,SG,Brooklyn Nets,27,High Salary,3425510,216
Oklahoma State,6-3,Markel Brown,22,SG,Brooklyn Nets,24,High Salary,845059,190
North Carolina,6-4,Wayne Ellington,21,SG,Brooklyn Nets,28,High Salary,1500000,200
Arizona,6-7,Rondae Hollis-Jefferson,24,SG,Brooklyn Nets,21,High Salary,1335480,220
Georgia Tech,6-3,Jarrett Jack,2,PG,Brooklyn Nets,32,High Salary,6300000,200
,6-7,Sergey Karasev,10,SG,Brooklyn Nets,22,High Salary,1599840,208
Cincinnati,6-4,Sean Kilpatrick,6,SG,Brooklyn Nets,26,High Salary,134215,219
Miami (FL),5-11,Shane Larkin,0,PG,Brooklyn Nets,23,High Salary,1500000,175
Stanford,7-0,Brook Lopez,11,C,Brooklyn Nets,28,High Salary,19689000,275
Syracuse,6-11,Chris McCullough,1,PF,Brooklyn Nets,21,High Salary,1140240,200
Saint Louis,6-10,Willie Reed,33,PF,Brooklyn Nets,26,High Salary,947276,220
Kansas,6-10,Thomas Robinson,41,PF,Brooklyn Nets,25,High Salary,981348,237
Georgetown,6-10,Henry Sims,14,C,Brooklyn Nets,26,High Salary,947276,248
Texas A&M,6-3,Donald Sloan,15,PG,Brooklyn Nets,28,High Salary,947276,205
Georgia Tech,6-8,Thaddeus Young,30,PF,Brooklyn Nets,27,High Salary,11235955,221
UCLA,6-5,Arron Afflalo,4,SG,New York Knicks,30,High Salary,8000000,210
UNLV,6-9,Lou Amundson,17,PF,New York Knicks,33,High Salary,1635476,220
,6-7,Thanasis Antetokounmpo,43,SF,New York Knicks,23,LOW SALARY,30888,205
Syracuse,6-8,Carmelo Anthony,7,SF,New York Knicks,32,High Salary,22875000,240
,6-3,Jose Calderon,3,PG,New York Knicks,34,High Salary,7402812,200
Wichita State,6-8,Cleanthony Early,11,SF,New York Knicks,25,High Salary,845059,210
Saint Joseph's,6-2,Langston Galloway,2,SG,New York Knicks,24,High Salary,845059,200
Notre Dame,6-4,Jerian Grant,13,PG,New York Knicks,23,High Salary,1572360,195
Stanford,7-0,Robin Lopez,8,C,New York Knicks,28,High Salary,12650000,255
Norfolk State,6-10,Kyle O'Quinn,9,PF,New York Knicks,26,High Salary,3750000,250
,7-3,Kristaps Porzingis,6,PF,New York Knicks,20,High Salary,4131720,240
,6-10,Kevin Seraphin,1,C,New York Knicks,26,High Salary,2814000,278
Duke,6-8,Lance Thomas,42,SF,New York Knicks,28,High Salary,1636842,235
,6-7,Sasha Vujacic,18,SG,New York Knicks,32,High Salary,947276,195
Arizona,6-8,Derrick Williams,23,PF,New York Knicks,25,High Salary,4000000,240
Washington,6-6,Tony Wroten,5,SG,New York Knicks,23,High Salary,167406,205
Duke,6-9,Elton Brand,42,PF,Philadelphia 76ers,37,LOW SALARY,,254
Murray State,6-0,Isaiah Canaan,0,PG,Philadelphia 76ers,25,High Salary,947276,201
Tennessee State,6-9,Robert Covington,33,SF,Philadelphia 76ers,25,High Salary,1000000,215
Kansas,7-0,Joel Embiid,21,C,Philadelphia 76ers,22,High Salary,4626960,250
Syracuse,6-8,Jerami Grant,39,SF,Philadelphia 76ers,22,High Salary,845059,210
Bowling Green,6-10,Richaun Holmes,22,PF,Philadelphia 76ers,22,High Salary,1074169,245
Purdue,6-9,Carl Landry,7,PF,Philadelphia 76ers,32,High Salary,6500000,248
North Carolina,6-4,Kendall Marshall,5,PG,Philadelphia 76ers,24,High Salary,2144772,200
Arizona,6-2,T.J. McConnell,12,PG,Philadelphia 76ers,24,High Salary,525093,200
Kentucky,6-11,Nerlens Noel,4,PF,Philadelphia 76ers,22,High Salary,3457800,228
Duke,6-11,Jahlil Okafor,8,C,Philadelphia 76ers,20,High Salary,4582680,275
Wake Forest,6-0,Ish Smith,1,PG,Philadelphia 76ers,27,High Salary,947276,175
Michigan,6-6,Nik Stauskas,11,SG,Philadelphia 76ers,22,High Salary,2869440,205
Georgetown,6-8,Hollis Thompson,31,SG,Philadelphia 76ers,25,High Salary,947276,206
UNLV,6-11,Christian Wood,35,PF,Philadelphia 76ers,20,High Salary,525093,220
,6-9,Bismack Biyombo,8,C,Toronto Raptors,23,High Salary,2814000,245
,6-9,Bruno Caboclo,20,SF,Toronto Raptors,20,High Salary,1524000,205
Missouri,6-8,DeMarre Carroll,5,SF,Toronto Raptors,29,High Salary,13600000,212
USC,6-7,DeMar DeRozan,10,SG,Toronto Raptors,26,High Salary,10050000,220
Wake Forest,6-9,James Johnson,3,PF,Toronto Raptors,29,High Salary,2500000,250
Texas,6-3,Cory Joseph,6,PG,Toronto Raptors,24,High Salary,7000000,190
Villanova,6-0,Kyle Lowry,7,PG,Toronto Raptors,30,High Salary,12000000,205
,7-0,Lucas Nogueira,92,C,Toronto Raptors,23,High Salary,1842000,220
Kentucky,6-9,Patrick Patterson,54,PF,Toronto Raptors,27,High Salary,6268675,235
UCLA,6-4,Norman Powell,24,SG,Toronto Raptors,23,High Salary,650000,215
Washington,6-7,Terrence Ross,31,SF,Toronto Raptors,25,High Salary,3553917,195
,6-9,Luis Scola,4,PF,Toronto Raptors,36,High Salary,2900000,240
Rider,6-11,Jason Thompson,1,PF,Toronto Raptors,29,High Salary,245177,250
,7-0,Jonas Valanciunas,17,C,Toronto Raptors,24,High Salary,4660482,255
Utah,6-5,Delon Wright,55,PG,Toronto Raptors,24,High Salary,1509360,190
,6-3,Leandro Barbosa,19,SG,Golden State Warriors,33,High Salary,2500000,194
North Carolina,6-8,Harrison Barnes,40,SF,Golden State Warriors,24,High Salary,3873398,225
Utah,7-0,Andrew Bogut,12,C,Golden State Warriors,31,High Salary,13800000,260
Belmont,6-3,Ian Clark,21,SG,Golden State Warriors,25,High Salary,947276,175
Davidson,6-3,Stephen Curry,30,PG,Golden State Warriors,28,High Salary,11370786,190
Vanderbilt,6-11,Festus Ezeli,31,C,Golden State Warriors,26,High Salary,2008748,265
Michigan State,6-7,Draymond Green,23,PF,Golden State Warriors,26,High Salary,14260870,230
Arizona,6-6,Andre Iguodala,9,SF,Golden State Warriors,32,High Salary,11710456,215
,6-7,Shaun Livingston,34,PG,Golden State Warriors,30,High Salary,5543725,192
UCLA,6-9,Kevon Looney,36,SF,Golden State Warriors,20,High Salary,1131960,220
North Carolina,6-9,James Michael McAdoo,20,SF,Golden State Warriors,23,High Salary,845059,240
Kansas,6-6,Brandon Rush,4,SF,Golden State Warriors,30,High Salary,1270964,220
Florida,6-10,Marreese Speights,5,C,Golden State Warriors,28,High Salary,3815000,255
Washington State,6-7,Klay Thompson,11,SG,Golden State Warriors,26,High Salary,15501000,215
,6-11,Anderson Varejao,18,PF,Golden State Warriors,33,High Salary,289755,273
Kansas,6-11,Cole Aldrich,45,C,Los Angeles Clippers,27,High Salary,1100602,250
Arizona State,6-9,Jeff Ayres,19,PF,Los Angeles Clippers,29,High Salary,111444,250
Michigan,6-5,Jamal Crawford,11,SG,Los Angeles Clippers,36,High Salary,5675000,195
Michigan State,6-6,Branden Dawson,22,SF,Los Angeles Clippers,23,High Salary,525093,225
Georgetown,6-9,Jeff Green,8,SF,Los Angeles Clippers,29,High Salary,9650000,235
Oklahoma,6-10,Blake Griffin,32,PF,Los Angeles Clippers,27,High Salary,18907726,251
Syracuse,6-7,Wesley Johnson,33,SF,Los Angeles Clippers,28,High Salary,1100602,215
Texas A&M,6-11,DeAndre Jordan,6,C,Los Angeles Clippers,27,High Salary,19689000,265
UCLA,6-8,Luc Richard Mbah a Moute,12,PF,Los Angeles Clippers,29,High Salary,947276,230
Wake Forest,6-0,Chris Paul,3,PG,Los Angeles Clippers,31,High Salary,21468695,175
Kansas,6-7,Paul Pierce,34,SF,Los Angeles Clippers,38,High Salary,3376000,235
,6-3,Pablo Prigioni,9,PG,Los Angeles Clippers,39,High Salary,947726,185
Duke,6-4,JJ Redick,4,SG,Los Angeles Clippers,31,High Salary,7085000,190
Duke,6-4,Austin Rivers,25,PG,Los Angeles Clippers,23,High Salary,3110796,200
Washington,6-5,C.J. Wilcox,30,SG,Los Angeles Clippers,25,High Salary,1159680,195
LSU,6-8,Brandon Bass,2,PF,Los Angeles Lakers,31,High Salary,3000000,250
Kansas,6-9,Tarik Black,28,C,Los Angeles Lakers,24,High Salary,845059,250
Stanford,6-7,Anthony Brown,3,SF,Los Angeles Lakers,23,High Salary,700000,210
,6-6,Kobe Bryant,24,SF,Los Angeles Lakers,37,High Salary,25000000,212
Missouri,6-5,Jordan Clarkson,6,PG,Los Angeles Lakers,24,High Salary,845059,194
Georgetown,7-2,Roy Hibbert,17,C,Los Angeles Lakers,29,High Salary,15592217,270
,6-3,Marcelo Huertas,9,PG,Los Angeles Lakers,33,High Salary,525093,200
Duke,6-11,Ryan Kelly,4,PF,Los Angeles Lakers,25,High Salary,1724250,230
Wyoming,6-9,Larry Nance Jr.,7,PF,Los Angeles Lakers,23,High Salary,1155600,230
Kentucky,6-9,Julius Randle,30,PF,Los Angeles Lakers,21,High Salary,3132240,250
Ohio State,6-5,D'Angelo Russell,1,PG,Los Angeles Lakers,20,High Salary,5103120,195
Gonzaga,7-0,Robert Sacre,50,C,Los Angeles Lakers,27,High Salary,981348,270
,6-1,Louis Williams,23,SG,Los Angeles Lakers,29,High Salary,7000000,175
St. John's,6-7,Metta World Peace,37,SF,Los Angeles Lakers,36,High Salary,947276,260
USC,6-7,Nick Young,0,SF,Los Angeles Lakers,31,High Salary,5219169,210
Kentucky,6-1,Eric Bledsoe,2,PG,Phoenix Suns,26,High Salary,13500000,190
Kentucky,6-6,Devin Booker,1,SG,Phoenix Suns,19,High Salary,2127840,206
Arizona,6-7,Chase Budinger,10,SF,Phoenix Suns,28,High Salary,206192,209
,7-1,Tyson Chandler,4,C,Phoenix Suns,33,High Salary,13000000,240
Kentucky,6-5,Archie Goodwin,20,SG,Phoenix Suns,21,High Salary,1160160,200
Vanderbilt,6-4,John Jenkins,23,SG,Phoenix Suns,25,High Salary,981348,215
